,Feature Type,Feature Name,District,Distance from Dam (km),Alert Zone,Alert Colour,Zone Description,Piping — Inundated?,Piping — Area Flooded (%),Piping — Max Depth (m),Piping — Arrival (hrs),Piping — Evac Window,Piping — PAR,Overtopping — Inundated?,Overtopping — Area Flooded (%),Overtopping — Max Depth (m),Overtopping — Arrival (hrs),Overtopping — Evac Window,Overtopping — PAR,Population,Nearest Shelter,Shelter Distance (km),Hazard Class (Piping),Hazard Class (Overtop),Flood Status (Piping),Flood Status (Overtop),Remarks,Piping — Inundated km,Piping — Inundated %,Piping — Flood Status,Overtopping — Inundated km,Overtopping — Inundated %,Overtopping — Flood Status,Total Road Length (km)
1,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
2,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
3,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
4,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
5,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
6,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
7,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
8,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
9,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
10,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
11,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
12,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
13,Road — Kutcha Track,Kutcha Track — Ambegaon,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,,,,YES,,,,,,,,,,,,,,0.0,0.0,NOT FLOODED,0.156,46.8,ROAD PARTIALLY FLOODED,0.334
14,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
15,Road — Kutcha Track,Kutcha Track,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,,,,YES,,,,,,,,,,,,,,0.0,0.0,NOT FLOODED,0.083,16.2,ROAD MARGINALLY AFFECTED,0.511
16,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
17,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
18,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
19,Bridge,Bridge — Ambegaon — Ambegaon — Ambegaon,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
20,Bridge,Bridge — Ambegaon — Ambegaon — Ambegaon,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
21,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
22,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
23,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
24,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
25,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
26,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
27,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
28,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
29,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
30,Road — Village Road,Village Road — Jotibachiwadi,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,YES,,,,,,YES,,,,,,,,,,,,,,0.164,18.7,ROAD MARGINALLY AFFECTED,0.166,18.9,ROAD MARGINALLY AFFECTED,0.878
31,Bridge,Bridge — Ambabaiwadi — Ambabaiwadi — Ambabaiwadi,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
32,Bridge,Bridge — Ambabaiwadi — Ambabaiwadi — Ambabaiwadi,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
33,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
34,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
35,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
36,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
37,Bridge,Bridge — Ambegaon — Ambegaon — Ambegaon,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
38,Bridge,Bridge — Ambegaon — Ambegaon — Ambegaon,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
39,Road — Internal Road,Internal Road,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,,,,YES,,,,,,,,,,,,,,0.0,0.0,NOT FLOODED,0.112,11.8,ROAD MARGINALLY AFFECTED,0.952
40,Road — Kutcha Track,Kutcha Track — Jotibachiwadi,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,,,,YES,,,,,,,,,,,,,,0.0,0.0,NOT FLOODED,0.14,54.9,ROAD PARTIALLY FLOODED,0.254
41,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
42,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
43,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
44,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
45,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
46,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
47,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
48,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
49,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
50,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
51,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
52,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
53,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
54,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
55,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
56,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
57,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
58,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
59,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
60,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
61,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
62,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
63,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
64,Bridge,Tuljapur Bypass,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
65,Hospital,Malba Hospital,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
66,Hospital,Peshwe Hospital,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
67,Hospital,Sai Mangal Hospital,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
68,Temple / Place of Worship,Tuljabhavani mandir,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
69,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
70,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
71,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
72,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
73,Road — Service Road,Service Road — Jotibachiwadi,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,,,,YES,,,,,,,,,,,,,,0.0,0.0,NOT FLOODED,0.028,9.2,ROAD MARGINALLY AFFECTED,0.301
74,Road — Kutcha Track,Kutcha Track,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,,,,YES,,,,,,,,,,,,,,0.0,0.0,NOT FLOODED,0.08,18.0,ROAD MARGINALLY AFFECTED,0.443
75,Road — Kutcha Track,Kutcha Track — Ambegaon,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,,,,YES,,,,,,,,,,,,,,0.0,0.0,NOT FLOODED,0.121,11.4,ROAD MARGINALLY AFFECTED,1.061
76,College / University,Tata Institute of Social Sciences - TISS Tuljapur,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
77,Dam,Dam,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
78,School,School,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
79,Temple / Place of Worship,Tuljabhavani Pujari Dhanraj Ranjeet Karade,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
80,Bus Station,Bus Station,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
81,Temple / Place of Worship,Temple / Place of Worship,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
82,School,School,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
83,Hospital,Hospital,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
84,Temple / Place of Worship,Ghatshil temple,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
85,Electricity Substation,Electricity Substation,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
86,Electricity Substation,Toljapur,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
87,Bus Stop,Bus Stop,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
88,Hospital,RHC,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
89,Bus Stop,Bus Stop,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
90,Bus Stop,Bus Stop,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
91,Hospital,Kshirasagar Hospital,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
92,Bus Stop,Bus Stop,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
93,Hospital,Kutwal Multi Speciality Hospital,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
94,Hospital,Kadam Hospital,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
95,Primary Health Centre (PHC),PHC Gaudgaon,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
96,Hospital,Yadav Nursing and Maternity Home - Tuljapur,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
97,Bridge,Bridge,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
98,Bridge,Apsinga Road,Solapur,0.0,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
99,Settlement / Village,Ambegaon,Solapur,0.003,Zone I,RED,IMMEDIATE DANGER,NO,0.0,,Not Reached,8+ hours,0.0,NO,0.0,,Not Reached,8+ hours,0.0,686.0,None,3.81,None,None,NOT AFFECTED,NOT AFFECTED,,,,,,,,
100,Bridge,Bridge — Jotibachiwadi — Jotibachiwadi — Jotibachiwadi,Solapur,0.081,Zone I,RED,IMMEDIATE DANGER,YES,,6.285,2.66,2–4 hours,,YES,,8.25,0.66,0 to 2 hour,,,,,,,,,⚠️ BRIDGE SUBMERGED — ACCESS CUT,,,,,,,
101,Road — Village Road,Village Road — Jotibachiwadi,Solapur,0.081,Zone I,RED,IMMEDIATE DANGER,YES,,,,,,YES,,,,,,,,,,,,,,0.05,100.0,ROAD COMPLETELY FLOODED,0.05,100.0,ROAD COMPLETELY FLOODED,0.05
102,Road — Village Road,Village Road — Jotibachiwadi,Solapur,0.112,Zone I,RED,IMMEDIATE DANGER,YES,,,,,,YES,,,,,,,,,,,,,,0.108,7.4,ROAD MARGINALLY AFFECTED,0.23,15.7,ROAD MARGINALLY AFFECTED,1.462
103,Road — Internal Road,Internal Road — Ambabaiwadi,Solapur,0.287,Zone I,RED,IMMEDIATE DANGER,NO,,,,,,YES,,,,,,,,,,,,,,0.0,0.0,NOT FLOODED,0.298,12.3,ROAD MARGINALLY AFFECTED,2.414
104,Settlement / Village,Ambabaiwadi,Solapur,0.311,Zone I,RED,IMMEDIATE DANGER,NO,0.0,,Not Reached,8+ hours,0.0,NO,0.0,,Not Reached,8+ hours,0.0,1315.0,None,4.03,None,None,NOT AFFECTED,NOT AFFECTED,,,,,,,,
105,Road — Village Road,Village Road — Ambegaon,Solapur,0.337,Zone I,RED,IMMEDIATE DANGER,YES,,,,,,YES,,,,,,,,,,,,,,0.792,10.2,ROAD MARGINALLY AFFECTED,1.577,20.3,ROAD MARGINALLY AFFECTED,7.754
106,Bridge,Bridge,Solapur,0.364,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
107,Road — Internal Road,Internal Road — Jotibachiwadi,Solapur,0.532,Zone I,RED,IMMEDIATE DANGER,YES,,,,,,YES,,,,,,,,,,,,,,0.947,100.0,ROAD COMPLETELY FLOODED,0.947,100.0,ROAD COMPLETELY FLOODED,0.947
108,Settlement / Village,Jotibachiwadi,Solapur,0.544,Zone I,RED,IMMEDIATE DANGER,NO,0.0,,Not Reached,8+ hours,0.0,NO,0.0,,Not Reached,8+ hours,0.0,2276.0,None,4.18,None,None,NOT AFFECTED,NOT AFFECTED,,,,,,,,
109,Bridge,Bridge — Jotibachiwadi — Jotibachiwadi — Jotibachiwadi,Solapur,0.743,Zone I,RED,IMMEDIATE DANGER,NO,,,Not Reached,8+ hours,,NO,,,Not Reached,8+ hours,,,,,,,,,,,,,,,,
110,Road — Village Road,Village Road — Jotibachiwadi,Solapur,0.924,Zone I,RED,IMMEDIATE DANGER,YES,,,,,,YES,,,,,,,,,,,,,,0.221,60.2,ROAD PARTIALLY FLOODED,0.251,68.5,ROAD PARTIALLY FLOODED,0.367
111,Bridge,Bridge — Jotibachiwadi — Jotibachiwadi — Jotibachiwadi,Solapur,0.999,Zone I,RED,IMMEDIATE DANGER,YES,,6.315,2.8,2–4 hours,,YES,,7.614,0.74,0 to 2 hour,,,,,,,,,⚠️ BRIDGE SUBMERGED — ACCESS CUT,,,,,,,
112,Road — Village Road,Village Road — Jotibachiwadi,Solapur,0.999,Zone I,RED,IMMEDIATE DANGER,YES,,,,,,YES,,,,,,,,,,,,,,0.014,100.0,ROAD COMPLETELY FLOODED,0.014,100.0,ROAD COMPLETELY FLOODED,0.014
113,Road — Village Road,Village Road — Jotibachiwadi,Solapur,1.106,Zone I,RED,IMMEDIATE DANGER,YES,,,,,,YES,,,,,,,,,,,,,,0.278,68.8,ROAD PARTIALLY FLOODED,0.404,100.0,ROAD COMPLETELY FLOODED,0.404
114,Road — Village Road,Village Road — Jotibachiwadi,Solapur,1.123,Zone I,RED,IMMEDIATE DANGER,YES,,,,,,YES,,,,,,,,,,,,,,0.064,100.0,ROAD COMPLETELY FLOODED,0.064,100.0,ROAD COMPLETELY FLOODED,0.064
115,Road — Village Road,Village Road — Jotibachiwadi,Solapur,1.156,Zone I,RED,IMMEDIATE DANGER,YES,,,,,,YES,,,,,,,,,,,,,,0.007,100.0,ROAD COMPLETELY FLOODED,0.007,100.0,ROAD COMPLETELY FLOODED,0.007
